"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"6253592.0","S12010","20","proposed","Water Fund","C700010","Public Utilities","30th Street Pipeline Replacement","Undistributed Budget","512117"
"4200000.0","S12012","20","proposed","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"5000000.0","S12013","20","proposed","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"5737598.0","S12015","20","proposed","Water Fund","C700010","Public Utilities","Pacific Beach Pipeline South (W)","Undistributed Budget","512117"
"10000000.0","S12016","20","proposed","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"580000.0","S12040","20","proposed","Water Fund","C700010","Public Utilities","Tierrasanta (Via Dominique) Pump Station","Undistributed Budget","512117"
"8262079.0","S15016","20","proposed","Water Fund","C700010","Public Utilities","Otay Second Pipeline Relocation-PA","Undistributed Budget","512117"
"955001.0","S15027","20","proposed","Water Fund","C700010","Public Utilities","La Jolla View Reservoir","Undistributed Budget","512117"
"15364419.0","S16027","20","proposed","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"500000.0","S20001","20","proposed","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline Phase 4","Undistributed Budget","512117"
"500000.0","S20002","20","proposed","Water Fund","C700010","Public Utilities","University Heights Reservoir Rehabilitation","Undistributed Budget","512117"
"2000000.0","ABT00001","20","proposed","Refuse Disposal Fund","C700040","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"200000.0","AFA00001","20","proposed","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"2100000.0","L17000","20","proposed","Refuse Disposal Fund","C700040","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"3000000.0","S01090","20","proposed","Golf Course Enterprise Fund","C700046","Parks & Recreation","Mission Bay Golf Course Clubhouse Demo/Prtbl Building Instl","Undistributed Budget","512117"
"1000000.0","L17000","20","proposed","Recycling Fund","C700049","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"100000.0","S15000","20","proposed","Recycling Fund","C700049","Environmental Services","CNG Fueling Station for Refuse & Recycling","Undistributed Budget","512117"
"114600.0","ABE00001","17","adopted","Development Impact Fees","C400099","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"25000.0","ABE00001","17","adopted","Development Impact Fees","C400111","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"205000.0","ABE00001","17","adopted","Development Impact Fees","C400112","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"60000.0","ABE00001","17","adopted","Development Impact Fees","C400117","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"60000.0","ABE00001","17","adopted","Development Impact Fees","C400118","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"80000.0","ABE00001","17","adopted","Development Impact Fees","C400121","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"55000.0","ABE00001","17","adopted","Development Impact Fees","C400124","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"60000.0","ABE00001","17","adopted","Development Impact Fees","C400128","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"100000.0","ABE00001","17","adopted","Development Impact Fees","C400129","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"3710000.0","ABJ00001","17","adopted","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"3400000.0","ABL00001","17","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"100000.0","ABM00001","17","adopted","Water Fund","C700010","Public Utilities","Groundwater Asset Development Program","Undistributed Budget","512117"
"1500000.0","ABO00001","17","adopted","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"250000.0","ABT00001","17","adopted","General Fund","C400265","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"300000.0","ABT00003","17","adopted","Energy Conservation Program Fund","C200225","Environmental Services","Citywide Energy Improvements","Undistributed Budget","512117"
"1300000.0","ACA00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Drainage Projects","Undistributed Budget","512117"
"1525000.0","ACA00001","17","adopted","General Fund","C400265","Transportation & Storm Water","Drainage Projects","Undistributed Budget","512117"
"4000000.0","ACC00001","17","adopted","General Fund","C400265","Transportation & Storm Water","Watershed CIP","Undistributed Budget","512117"
"500000.0","AEA00002","17","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"800000.0","AGE00001","17","adopted","Environmental Growth Funds","C200110","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"6157723.0","AGF00004","17","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"1500000.0","AGF00005","17","adopted","General Fund","C400265","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"950000.0","AHC00004","17","adopted","Water Fund","C700010","Public Utilities","Recycled Water Systems Upgrades","Undistributed Budget","512117"
"750000.0","AIA00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Minor Bike Facilities","Undistributed Budget","512117"
"3758329.0","AID00005","17","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"250000.0","AIE00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Bridge Rehabilitation","Undistributed Budget","512117"
"718325.0","AIG00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Median Installation","Undistributed Budget","512117"
"1260000.0","AIH00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Installation of City Owned Street Lights","Undistributed Budget","512117"
"1350000.0","AIH00002","17","adopted","General Fund","C400265","Transportation & Storm Water","Street Light Circuit Upgrades","Undistributed Budget","512117"
"1658619.0","AIK00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","New Walkways","Undistributed Budget","512117"
"100000.0","AIK00002","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","School Traffic Safety Improvements","Undistributed Budget","512117"
"2000000.0","AIK00003","17","adopted","General Fund","C400265","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"760000.0","AIL00001","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Traffic Calming","Undistributed Budget","512117"
"1413547.0","AIL00002","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Install T/S Interconnect Systems","Undistributed Budget","512117"
"150000.0","AIL00004","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
"100000.0","AIL00005","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"45300000.0","AJA00001","17","adopted","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"37982121.0","AJA00002","17","adopted","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"2500000.0","AJA00003","17","adopted","Sewer Funds","C700008","Public Utilities","Unscheduled Projects","Undistributed Budget","512117"
"2600000.0","AJB00001","17","adopted","Sewer Funds","C700009","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"2250000.0","AKA00003","17","adopted","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"595273.0","AKB00002","17","adopted","Water Fund","C700010","Public Utilities","Freeway Relocation","Undistributed Budget","512117"
"8624318.0","AKB00003","17","adopted","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"38000000.0","ALA00001","17","adopted","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"38000000.0","ALA00001","17","adopted","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"175000.0","L12000","17","adopted","Maintenance Assessment Districts","C200038","Parks & Recreation","Convert RB Medians-Asphalt to Concrete","Undistributed Budget","512117"
"675000.0","L16000","17","adopted","EDCO Community Fund","C700042","Parks & Recreation","Southeastern Mini Park Improvements","Undistributed Budget","512117"
"12091000.0","RD14000","17","adopted","Developer Funding","C200636","Transportation & Storm Water","State Route 56 Freeway Expansion","Undistributed Budget","512117"
"2991250.0","RD16001","17","adopted","Sewer Funds","C700008","Public Utilities","Harbor Dr TS Participation Agreement","Undistributed Budget","512117"
"4300000.0","S00041","17","adopted","Water Fund","C700010","Public Utilities","Morena Reservoir Outlet Tower Upgrade","Undistributed Budget","512117"
"1400000.0","S00070","17","adopted","Facilities Benefit Assessments","C400090","Public Utilities","Del Mar Heights Pipeline Relocation","Undistributed Budget","512117"
"7000000.0","S00312","17","adopted","Sewer Funds","C700009","Public Utilities","PS2 Power Reliability & Surge Protection","Undistributed Budget","512117"
"1100000.0","S00323","17","adopted","Sewer Funds","C700009","Public Utilities","MBC Odor Control Facility Upgrades","Undistributed Budget","512117"
"580000.0","S00707","17","adopted","Developer Funding","C200636","Transportation & Storm Water","I5 to SR56 Freeway Connectors","Undistributed Budget","512117"
"280000.0","S00752","17","adopted","Development Impact Fees","C400126","Parks & Recreation","Beyer Park Development","Undistributed Budget","512117"
"155605.0","S00800","17","adopted","Library System Improvement Fund","C200369","Library","San Carlos Branch Library","Undistributed Budget","512117"
"30000.0","S00826","17","adopted","Maintenance Assessment Districts","C200095","Parks & Recreation","El Cajon Blvd Streetscape Improvements","Undistributed Budget","512117"
"3000000.0","S00851","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","SR 163/Friars Road","Undistributed Budget","512117"
"714354.0","S00856","17","adopted","Developer Funding","C200636","Transportation & Storm Water","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"3200000.0","S00915","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","University Avenue Mobility","Undistributed Budget","512117"
"20000.0","S00944","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Bayshore Bikeway","Undistributed Budget","512117"
"200000.0","S10008","17","adopted","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"1000000.0","S10091","17","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Sunset Cliffs Natural Pk Hillside Imp Presrv","Undistributed Budget","512117"
"50000.0","S11009","17","adopted","Maintenance Assessment Districts","C200074","Parks & Recreation","Torrey Highlands Community ID & Enhance","Undistributed Budget","512117"
"7450000.0","S11021","17","adopted","Water Fund","C700010","Public Utilities","University Ave Pipeline Replacement","Undistributed Budget","512117"
"14600000.0","S11022","17","adopted","Water Fund","C700010","Public Utilities","Upas St Pipeline Replacement","Undistributed Budget","512117"
"22180091.0","S11024","17","adopted","Water Fund","C700010","Public Utilities","Miramar Clearwell Improvements","Undistributed Budget","512117"
"4500000.0","S11025","17","adopted","Water Fund","C700010","Public Utilities","Chollas Building","Undistributed Budget","512117"
"3500000.0","S11026","17","adopted","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"6072816.0","S12008","17","adopted","Water Fund","C700010","Public Utilities","Catalina 12inch Cast Iron Mains","Undistributed Budget","512117"
"4832598.0","S12009","17","adopted","Water Fund","C700010","Public Utilities","La Jolla Scenic Drive 16inch Main","Undistributed Budget","512117"
"750000.0","S12010","17","adopted","Water Fund","C700010","Public Utilities","30th Street Pipeline Replacement","Undistributed Budget","512117"
"6000000.0","S12011","17","adopted","Water Fund","C700010","Public Utilities","69th & Mohawk Pump Station","Undistributed Budget","512117"
"500000.0","S12012","17","adopted","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"1500000.0","S12013","17","adopted","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"5900000.0","S12015","17","adopted","Water Fund","C700010","Public Utilities","Pacific Beach Pipeline South (W)","Undistributed Budget","512117"
"550000.0","S12016","17","adopted","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"500000.0","S12018","17","adopted","Water Fund","C700010","Public Utilities","Lower Otay Outlet Tower","Undistributed Budget","512117"
"165000.0","S13010","17","adopted","Maintenance Assessment Districts","C200028","Parks & Recreation","Evans Pond Reclaimed Water Pipeline Inst","Undistributed Budget","512117"
"8850000.0","S13015","17","adopted","Water Fund","C700010","Public Utilities","Water & Sewer Group Job 816 (W)","Undistributed Budget","512117"
"2073923.0","S13100","17","adopted","Lease Purchase Fund","C200724","Police","CAD System Replacement Project","Undistributed Budget","512117"
"6810009.0","S14000","17","adopted","Lease Purchase Fund","C200724","Citywide","I AM San Diego Project","Undistributed Budget","512117"
"6038208.0","S14000","17","adopted","Sewer Funds","C700008","Citywide","I AM San Diego Project","Undistributed Budget","512117"
"3495805.0","S14000","17","adopted","Sewer Funds","C700009","Citywide","I AM San Diego Project","Undistributed Budget","512117"
"6356008.0","S14000","17","adopted","Water Fund","C700010","Citywide","I AM San Diego Project","Undistributed Budget","512117"
"256000.0","S14006","17","adopted","Environmental Growth Funds","C200110","Parks & Recreation","El Cuervo Adobe Improvements","Undistributed Budget","512117"
"3050000.0","S14009","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","SR94/Euclid Av Interchange Phase 2","Undistributed Budget","512117"
"1375373.0","S14016","17","adopted","Environmental Growth Funds","C200110","Parks & Recreation","East Fortuna Staging Area Field Stn Blg","Undistributed Budget","512117"
"900000.0","S15000","17","adopted","General Fund","C400265","Environmental Services","CNG Fueling Station for Refuse & Recycling","Undistributed Budget","512117"
"820000.0","S15000","17","adopted","Recycling Fund","C700049","Environmental Services","CNG Fueling Station for Refuse & Recycling","Undistributed Budget","512117"
"1000000.0","S15019","17","adopted","Sewer Funds","C700008","Public Utilities","Alvarado Trunk Sewer Phase IV","Undistributed Budget","512117"
"1300000.0","S15023","17","adopted","TransNet Funds","C400169","Transportation & Storm Water","Torrey Pines Road Improvement Phase 2","Undistributed Budget","512117"
"500000.0","S15027","17","adopted","Water Fund","C700010","Public Utilities","La Jolla View Reservoir","Undistributed Budget","512117"
"700000.0","S15035","17","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","EB Scripps Pk Comfort Station Replacement","Undistributed Budget","512117"
"300000.0","S15036","17","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Balboa Park West Mesa Comfort Station Replacement","Undistributed Budget","512117"
"1500000.0","S16027","17","adopted","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"500000.0","S17000","17","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Balboa Pk Bud Kearns Aquatic Complex Imp","Undistributed Budget","512117"
"160000.0","S17001","17","adopted","Maintenance Assessment Districts","C200076","Parks & Recreation","Talmadge Traffic Calming Infrastructure","Undistributed Budget","512117"
"850000.0","S17002","17","adopted","Development Impact Fees","C400098","Fire-Rescue","Fire Station No 39 Replacement","Undistributed Budget","512117"
"450000.0","S17006","17","adopted","Water Fund","C700010","Public Utilities","University Heights Water Tower Seismic Retrofit","Undistributed Budget","512117"
"500000.0","S17007","17","adopted","General Fund","C400265","Parks & Recreation","Pershing MidSch Joint Use Synthet Turf Replacement","Undistributed Budget","512117"
"19187795.0","S17008","17","adopted","Sewer Funds","C700008","Public Utilities","Advanced Metering Infrastructure","Undistributed Budget","512117"
"19187795.0","S17008","17","adopted","Water Fund","C700010","Public Utilities","Advanced Metering Infrastructure","Undistributed Budget","512117"
"250000.0","L14000","15","adopted","Maintenance Assessment Districts","C200033","Parks & Recreation","Carmel Valley Landscaping & Irrigation","Undistributed Budget","512117"
"560404.0","L14003","15","adopted","Maintenance Assessment Districts","C200059","Parks & Recreation","Del Mar Terrace Street Improvements","Undistributed Budget","512117"
"5000.0","S10054","15","adopted","Maintenance Assessment Districts","C200063","Parks & Recreation","Switzer Canyon Bridge Enhancement Prog","Undistributed Budget","512117"
"150000.0","S11009","15","adopted","Maintenance Assessment Districts","C200074","Parks & Recreation","Torrey Highlands Community ID & Enhance","Undistributed Budget","512117"
"75000.0","S00978","15","adopted","Maintenance Assessment Districts","C200076","Parks & Recreation","Talmadge Decorative SL Restoration","Undistributed Budget","512117"
"30000.0","S00826","15","adopted","Maintenance Assessment Districts","C200095","Parks & Recreation","El Cajon Blvd Streetscape Improvements","Undistributed Budget","512117"
"750000.0","ABG00001","15","adopted","Stadium Fund","C200116","Citywide","Stadium","Undistributed Budget","512117"
"2000000.0","AID00005","15","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"192767.0","S13022","15","adopted","Library System Improvement Fund","C200209","Library","Mission Hills-Hillcrest Library","Undistributed Budget","512117"
"1907720.0","AID00005","15","adopted","Proposition 42 Replacement - Transportation Relief Fund","C200306","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"306568.0","ABT00001","15","adopted","Mission Bay Park Improvement Fund","C200386","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"2943383.0","AGF00004","15","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"456000.0","L14005","15","adopted","Sunset Cliffs Natural Park Fund","C200463","Parks & Recreation","Sunset Cliffs Park Drainage Improvements","Undistributed Budget","512117"
"23012.0","ABT00001","15","adopted","Park Service District Funds","C400021","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"704652.0","S01083","15","adopted","Park Service District Funds","C400029","Parks & Recreation","Fairbrook Neighborhood Park Development","Undistributed Budget","512117"
"5000000.0","S13021","15","adopted","Facilities Benefit Assessments","C400080","Fire-Rescue","Fire Station No. 50 - North University City","Undistributed Budget","512117"
"2080509.0","S14007","15","adopted","Facilities Benefit Assessments","C400085","Parks & Recreation","Salk Neighborhood Park & Joint Use Devel","Undistributed Budget","512117"
"1718570.0","S15006","15","adopted","Facilities Benefit Assessments","C400085","Parks & Recreation","Canyon Hills Resource Park Improvements","Undistributed Budget","512117"
"5087168.0","S15007","15","adopted","Facilities Benefit Assessments","C400085","Parks & Recreation","Wangenheim Joint Use Facility","Undistributed Budget","512117"
"307424.0","S01083","15","adopted","Facilities Benefit Assessments","C400086","Parks & Recreation","Fairbrook Neighborhood Park Development","Undistributed Budget","512117"
"1670526.0","S00642","15","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Carmel Valley Neighborhood Park #8","Undistributed Budget","512117"
"2685000.0","S00900","15","adopted","Facilities Benefit Assessments","C400090","Transportation & Storm Water","Carmel Valley Rd 4/6 Lanes s of Street A","Undistributed Budget","512117"
"42000.0","S00903","15","adopted","Facilities Benefit Assessments","C400090","Transportation & Storm Water","Del Mar Heights Road-4/6 Lanes","Undistributed Budget","512117"
"305000.0","S00906","15","adopted","Facilities Benefit Assessments","C400090","Transportation & Storm Water","Carmel Val Rd-Del Mar Hts-Lopelia Mdws","Undistributed Budget","512117"
"1295000.0","S00994","15","adopted","Facilities Benefit Assessments","C400090","Parks & Recreation","SOLANA RANCH PARK","Undistributed Budget","512117"
"1500000.0","RD14000","15","adopted","Facilities Benefit Assessments","C400091","Transportation & Storm Water","State Route 56 Freeway Expansion","Undistributed Budget","512117"
"2700000.0","S15015","15","adopted","Facilities Benefit Assessments","C400091","Fire-Rescue","Fire Station No. 48 - Black Mountain Ranch","Undistributed Budget","512117"
"1500000.0","RD14000","15","adopted","Facilities Benefit Assessments","C400094","Transportation & Storm Water","State Route 56 Freeway Expansion","Undistributed Budget","512117"
"310000.0","S15011","15","adopted","Development Impact Fees","C400098","Library","Tierrasanta Library Expansion","Undistributed Budget","512117"
"342000.0","S00856","15","adopted","Development Impact Fees","C400101","Transportation & Storm Water","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"2200.0","S14007","15","adopted","Development Impact Fees","C400105","Parks & Recreation","Salk Neighborhood Park & Joint Use Devel","Undistributed Budget","512117"
"233091.0","ABT00001","15","adopted","Development Impact Fees","C400107","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"440634.0","S00767","15","adopted","Development Impact Fees","C400109","Parks & Recreation","Wightman Street Neighborhood Park","Undistributed Budget","512117"
"250000.0","S15003","15","adopted","Development Impact Fees","C400109","Parks & Recreation","Park de la Cruz Neighborhood Park Improvements","Undistributed Budget","512117"
"350000.0","ABE00001","15","adopted","Development Impact Fees","C400112","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"50000.0","AIL00005","15","adopted","Development Impact Fees","C400112","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"310000.0","ABE00001","15","adopted","Development Impact Fees","C400114","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"1090000.0","S00767","15","adopted","Development Impact Fees","C400114","Parks & Recreation","Wightman Street Neighborhood Park","Undistributed Budget","512117"
"250000.0","ABE00001","15","adopted","Development Impact Fees","C400116","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"150000.0","AIK00001","15","adopted","Development Impact Fees","C400116","Transportation & Storm Water","New Walkways","Undistributed Budget","512117"
"304000.0","AIL00001","15","adopted","Development Impact Fees","C400116","Transportation & Storm Water","Traffic Calming","Undistributed Budget","512117"
"275000.0","AIL00004","15","adopted","Development Impact Fees","C400116","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
"250000.0","S00800","15","adopted","Development Impact Fees","C400116","Library","San Carlos Branch Library","Undistributed Budget","512117"
"1271000.0","S15004","15","adopted","Development Impact Fees","C400116","Parks & Recreation","Rancho Mission Neighborhood Park Play Area Upgrade","Undistributed Budget","512117"
"76000.0","ABE00001","15","adopted","Development Impact Fees","C400120","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"550000.0","AIL00004","15","adopted","Development Impact Fees","C400120","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
"190000.0","AIL00005","15","adopted","Development Impact Fees","C400120","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"400000.0","S11019","15","adopted","Development Impact Fees","C400120","Parks & Recreation","Mountain View NP Area Upgrades","Undistributed Budget","512117"
"734000.0","S11103","15","adopted","Development Impact Fees","C400120","Parks & Recreation","Valencia Park Acquisition & Development","Undistributed Budget","512117"
"61000.0","ABE00001","15","adopted","Development Impact Fees","C400121","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"100000.0","S00760","15","adopted","Development Impact Fees","C400121","Parks & Recreation","West Maple Canyon MP","Undistributed Budget","512117"
"839000.0","S13022","15","adopted","Development Impact Fees","C400121","Library","Mission Hills-Hillcrest Library","Undistributed Budget","512117"
"50000.0","S00792","15","adopted","Development Impact Fees","C400123","Fire-Rescue","La Jolla Cove Lifeguard Station","Undistributed Budget","512117"
"75000.0","S15001","15","adopted","Development Impact Fees","C400123","Parks & Recreation","Coast Blvd Walkway Improvements","Undistributed Budget","512117"
"200000.0","ABE00001","15","adopted","Development Impact Fees","C400126","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"350000.0","S13000","15","adopted","Development Impact Fees","C400127","Parks & Recreation","Tubman Charter School JU Improvements","Undistributed Budget","512117"
"300000.0","AIL00005","15","adopted","Development Impact Fees","C400128","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"250000.0","S13003","15","adopted","Development Impact Fees","C400128","Parks & Recreation","Chicano Park ADA Upgrades","Undistributed Budget","512117"
"500000.0","S15002","15","adopted","Development Impact Fees","C400128","Parks & Recreation","Paradise Senior Center Improvements","Undistributed Budget","512117"
"850000.0","S15013","15","adopted","Development Impact Fees","C400128","Fire-Rescue","Fire Station No. 07 - Barrio Logan","Undistributed Budget","512117"
"100000.0","ABE00001","15","adopted","Development Impact Fees","C400132","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"100000.0","AIK00001","15","adopted","Development Impact Fees","C400132","Transportation & Storm Water","New Walkways","Undistributed Budget","512117"
"275000.0","S15005","15","adopted","Development Impact Fees","C400133","Parks & Recreation","Crest Canyon Neighborhood Park","Undistributed Budget","512117"
"69000.0","ABE00001","15","adopted","Development Impact Fees","C400134","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"5600000.0","S00851","15","adopted","Development Impact Fees","C400135","Transportation & Storm Water","SR 163/Friars Road","Undistributed Budget","512117"
"125000.0","S15012","15","adopted","Development Impact Fees","C400136","Fire-Rescue","Fire-Rescue Air Operations Facility","Undistributed Budget","512117"
"750000.0","AIA00001","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Minor Bike Facilities","Undistributed Budget","512117"
"7825225.0","AID00005","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"500000.0","AIE00001","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Bridge Rehabilitation","Undistributed Budget","512117"
"100000.0","AIG00001","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Median Installation","Undistributed Budget","512117"
"100000.0","AIH00001","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Installation of City Owned Street Lights","Undistributed Budget","512117"
"1064515.0","AIK00001","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","New Walkways","Undistributed Budget","512117"
"200000.0","AIK00002","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","School Traffic Safety Improvements","Undistributed Budget","512117"
"1000000.0","AIL00001","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Traffic Calming","Undistributed Budget","512117"
"100000.0","AIL00002","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Install T/S Interconnect Systems","Undistributed Budget","512117"
"550000.0","AIL00004","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
"715801.0","AIL00005","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"1550000.0","S00864","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Streamview Drive Improvements","Undistributed Budget","512117"
"2174775.0","S00870","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Old Otay Mesa Road-Westerly","Undistributed Budget","512117"
"1000000.0","S00871","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","W Mission Bay Dr Bridge Over SD River","Undistributed Budget","512117"
"565000.0","S00907","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","Linda Vista/Genesee Intersection Improve","Undistributed Budget","512117"
"750314.0","S00915","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","University Avenue Mobility","Undistributed Budget","512117"
"500000.0","S00928","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","La Jolla Mesa Drive Sidewalk","Undistributed Budget","512117"
"83700.0","S00981","15","adopted","TransNet Funds","C400169","Transportation & Storm Water","El Camino Real/SR 56 Bike Path Connector","Undistributed Budget","512117"
"3549927.0","S00851","15","adopted","Regional Transportation Congestion Improvement Program","C400174","Transportation & Storm Water","SR 163/Friars Road","Undistributed Budget","512117"
"50000.0","AIG00001","15","adopted","Developer Funding","C400185","Transportation & Storm Water","Median Installation","Undistributed Budget","512117"
"100000.0","S12003","15","adopted","Developer Funding","C400192","Parks & Recreation","Rancho Penasquitos Towne Centre Park Imp","Undistributed Budget","512117"
"300000.0","S12004","15","adopted","Developer Funding","C400192","Parks & Recreation","Canyonside Community Park Improvements","Undistributed Budget","512117"
"30400.0","S12002","15","adopted","Developer Funding","C400245","Parks & Recreation","Rancho Penasquitos Skate Park","Undistributed Budget","512117"
