"asset_owning_dept","project_number","asset_type","asset_subtype","project_name"
"Parks & Recreation","S00628","Golf Courses","Golf Courses","Mission Bay Golf Course New Practice Area Upgrade"
"Parks & Recreation","S01089","Golf Courses","Golf Courses","Mission Bay Golf Course & Practice Cntr Landscape"
"Parks & Recreation","AGF00004","Parks","Miscellaneous Parks","Mission Bay Improvements"
"Parks & Recreation","S00612","Parks","Miscellaneous Parks","Mission Bay Park Eel Grass Mitigation"
"Parks & Recreation","S01013","Parks","Miscellaneous Parks","Mission Bay Park Security Lights"
"Parks & Recreation","S11008","Transportation","Roadway - Street Lighting","Mission Hills Historic Street Lighting"
"Parks & Recreation","S01011","Parks","Miscellaneous Parks","Mission Trails Regional Park Fire Restoration"
"Parks & Recreation","S10065","Parks","Open Space Parks","Mission Trails RP Cowles Mountain Trail"
"Parks & Recreation","S01073","Parks","Miscellaneous Parks","Mission Trails RP Equest Comfort Station"
"Parks & Recreation","S01014","Parks","Miscellaneous Parks","Mission Trails RP Master Plan Update"
"Parks & Recreation","S10066","Parks","Trails","Mission Trails RP Trail Realignments"
"Parks & Recreation","S00755","Parks","Open Space Parks","Mission Valley Preserve Habitat Enhancement"
"Parks & Recreation","S00765","Parks","Community","MLK Jr Community Park Rec Center Roof Repair"
"Parks & Recreation","S00771","Parks","Community","MLK Jr Play Area Upgrade"
"Parks & Recreation","S13008","Parks","Open Space Parks","Mohnike Adobe and Barn Restoration"
"Parks & Recreation","S10027","Parks","Neighborhood Parks","Montclair Neighborhood Park Play Area"
"Parks & Recreation","S00973","Buildings","Other City Facility / Structures","Montgomery Academy JU Improvements"
"Parks & Recreation","S00754","Parks","Neighborhood Parks","Montgomery Waller Community Park"
"Parks & Recreation","S11019","Parks","Neighborhood Parks","Mountain View NP Area Upgrades"
"Parks & Recreation","S10094","Parks","Open Space Parks","MSCP East Elliot Land Acquisition"
"Parks & Recreation","S01076","Parks","Open Space Parks","Multiple Species Conservation"
"Parks & Recreation","S11101","Buildings","Other City Facility / Structures","Museum of Man Roof Replacement"
"Parks & Recreation","L12003","Parks","Resource-Based Parks","Museum of Man Seismic Retrofit"
"Parks & Recreation","S00663","Parks","Community","Nobel Athletic Area Development"
"Parks & Recreation","S00662","Parks","Community","Normal Heights CP Development"
"Parks & Recreation","S12041","Parks","Community","North Ocean Beach Gateway Ph II"
"Parks & Recreation","S01005","Parks","Community","North Park Community Park Miscellanous Improvement"
"Parks & Recreation","S10040","Transportation","Ped Facilities - Sidewalks","North Park/Main St Sidewalk Improvements"
"Parks & Recreation","S10050","Parks","Mini Parks","North Park Mini Park & Streetscape Improvements"
"Parks & Recreation","P18001","Buildings","Parks - Recreation/Pool Centers","Preliminary Engineering Report"
"Parks & Recreation","S10000","Buildings","Parks - Recreation/Pool Centers","NTC Aquatic Center"
"Parks & Recreation","S16031","Parks","Community","Ocean Air Comfort Station and Park Improvements"
"Parks & Recreation","S16030","Parks","Community","Ocean Air CP - Turf Upgrades"
"Parks & Recreation","S01057","Parks","Miscellaneous Parks","Ocean Beach CDC - N Ocean Beach Revital"
"Parks & Recreation","P18002","Parks","Shorelines","Ocean Beach Pier Condition Assessment"
"Parks & Recreation","S01094","Buildings","Other City Facility / Structures","Ocean Beach Recreation Center ADA Improvements"
"Parks & Recreation","S14012","Parks","Miscellaneous Parks","Ocean Beach Veterans Memorial"
"Parks & Recreation","S00611","Parks","Resource-Based Parks","Old Mission Dam Preservation"
"Parks & Recreation","S15028","Parks","Community","Olive Grove Community Park ADA Improve"
"Parks & Recreation","S10051","Parks","Mini Parks","Olive St Park Acquisition and Development"
"Parks & Recreation","AGG00001","Parks","Open Space Parks","Open Space Improvements"
"Parks & Recreation","S00753","Parks","Resource-Based Parks","Otay Valley Fenton Pond RecreationTrail"
"Parks & Recreation","S00769","Parks","Open Space Parks","Otay Valley Regional Park"
"Parks & Recreation","S00638","Parks","Resource-Based Parks","Otay Valley RP Beyer Blvd Staging Area"
"Parks & Recreation","S00668","Parks","Community","Pacific Beach Community Park Requirement"
"Parks & Recreation","RD16002","Parks","Community","Pacific Highlands Ranch Community Park"
"Parks & Recreation","RD12003","Parks","Trails","Pacific Highlands Ranch Hiking & Biking"
"Parks & Recreation","S10026","Parks","Miscellaneous Parks","Palisades Park Comfort Station Replace"
"Parks & Recreation","S10023","Parks","Community","Paradise Hills Community Park Picnic Shelter"
"Parks & Recreation","S15002","Buildings","Other City Facility / Structures","Paradise Senior Center Improvements"
"Parks & Recreation","S00657","Parks","Miscellaneous Parks","Park De La Cruz/38th Street Development"
"Parks & Recreation","S01006","Parks","Miscellaneous Parks","Park De La Cruz Acquisition"
"Parks & Recreation","S15003","Parks","Miscellaneous Parks","Park de la Cruz Neighborhood Park Improvements"
"Parks & Recreation","AGF00007","Parks","Miscellaneous Parks","Park Improvements"
"Parks & Recreation","AGF00001","Parks","Miscellaneous Parks","Park & Recreation Grant Match Funding"
"Parks & Recreation","S01010","Parks","Miscellaneous Parks","Penasquitos Town Center Linear Park"
"Parks & Recreation","S17007","Parks","Miscellaneous Parks","Pershing MidSch Joint Use Synthet Turf Replacement"
"Parks & Recreation","RD16000","Parks","Miscellaneous Parks","Piazza Famiglia Park"
"Parks & Recreation","S10125","Parks","Community","Pioneer Park and Comfort Station"
"Parks & Recreation","S10035","Transportation","Roadway - Enhance/Scape/Medians","Pomerado Median Improve-N of R Bernardo"
"Parks & Recreation","S00993","Parks","Miscellaneous Parks","Presidio Park Master Plan"
"Parks & Recreation","S00660","Parks","Miscellaneous Parks","Public Roads Supporting Park Access"
"Parks & Recreation","S11012","Parks","Community","Rancho Bernardo CP Sports Field Lights"
"Parks & Recreation","S01051","Buildings","Community Centers","Rancho Bernardo Recreation Center ADA"
"Parks & Recreation","S12006","Transportation","Roadway - Enhance/Scape/Medians","Rancho Bernardo Streetscape-Phase I"
"Parks & Recreation","S10033","Transportation","Roadway - Enhance/Scape/Medians","Rancho Bernardo Westwood Soundwall"
"Parks & Recreation","S10122","Parks","Neighborhood Parks","Rancho Encantada Neighborhood Park #1"
"Parks & Recreation","S00652","Parks","Neighborhood Parks","Rancho Encantada Park #2"
"Parks & Recreation","S15004","Parks","Neighborhood Parks","Rancho Mission Neighborhood Park Play Area Upgrade"
"Parks & Recreation","S00671","Parks","Miscellaneous Parks","Rancho Penasquitos ADA Requirements"
"Parks & Recreation","S10032","Transportation","Roadway - Enhance/Scape/Medians","Rancho Penasquitos Monument Signs"
"Parks & Recreation","S12002","Parks","Miscellaneous Parks","Rancho Penasquitos Skate Park"
"Parks & Recreation","S12003","Parks","Miscellaneous Parks","Rancho Penasquitos Towne Centre Park Imp"
"Parks & Recreation","AGF00005","Parks","Miscellaneous Parks","Regional Park Improvements"
"Parks & Recreation","AGE00001","Parks","Resource-Based Parks","Resource-Based Open Space Parks"
"Parks & Recreation","S00672","Parks","Neighborhood Parks","Ridgewood Neighborhood Park Playground"
"Parks & Recreation","S00999","Parks","Neighborhood Parks","Riviera Del Sol Neighborhood Park"
"Parks & Recreation","S15029","Parks","Miscellaneous Parks","Rolando Joint Use Facility Development"
"Parks & Recreation","S15021","Parks","Neighborhood Parks","Rolling Hills Neighborhood Park ADA Upgrades"
"Parks & Recreation","S00761","Parks","Miscellaneous Parks","Roosevelt Middle School Improvements"
"Parks & Recreation","S16035","Parks","Neighborhood Parks","Sage Canyon Concession Bldg-Development"
"Parks & Recreation","S14007","Parks","Neighborhood Parks","Salk Neighborhood Park & Joint Use Devel"
"Parks & Recreation","S01012","Parks","Miscellaneous Parks","San Diego River Improvements"
"Parks & Recreation","S01001","Parks","Miscellaneous Parks","San Diego River Park Master Plan"
"Parks & Recreation","S11013","Parks","Miscellaneous Parks","San Ysidro Athletic Area/Larsen Fld Lght"
"Parks & Recreation","S15033","Parks","Community","San Ysidro Community Park ADA Improvements"
"Parks & Recreation","S00606","Drainage","Channels","SD River Dredging Qualcomm Way to SR163"
"Parks & Recreation","S00669","Parks","Community","Serra Mesa Community Park"
"Parks & Recreation","S00619","Parks","Miscellaneous Parks","Sewer Lateral Replacement for Balboa Park"
"Parks & Recreation","S11051","Parks","Neighborhood Parks","Silver Wing NP Sports Field/Lighting"
"Parks & Recreation","S16051","Parks","Neighborhood Parks","Silver Wing Pk Ballfield Lighting - Ph 2"
"Parks & Recreation","S00616","Parks","Miscellaneous Parks","Sixth Avenue Playground Improvements"
"Parks & Recreation","S16021","Parks","Miscellaneous Parks","Skyline Hills Comm Pk Security Lighting Upgrades"
"Parks & Recreation","S15038","Parks","Community","Skyline Hills Community Park ADA Improve"
"Parks & Recreation","S16032","Parks","Neighborhood Parks","Solana Highlands NP-Comfort Station-Development"
"Parks & Recreation","S00994","Parks","Neighborhood Parks","SOLANA RANCH PARK"
"Parks & Recreation","S10134","Buildings","Parks - Recreation/Pool Centers","South Clairemont Recreation Center ADA Kitchen Upg"
"Parks & Recreation","S01071","Parks","Miscellaneous Parks","Southcrest Trails 252 Corr Park Imp-Ph2"
"Parks & Recreation","L16000","Parks","Mini Parks","Southeastern Mini Park Improvements"
"Parks & Recreation","P18010","Parks","Neighborhood Parks","Southwest Neighborhood Park"
"Parks & Recreation","S00718","Transportation","Roadway","SR56 Vernal Pool Preserve"
"Parks & Recreation","S00675","Parks","Miscellaneous Parks","Sub Area II Recreational Feasibility Study"
"Parks & Recreation","S10048","Parks","Neighborhood Parks","Sunroad Neighborhood Park - Development"
"Parks & Recreation","S00674","Parks","Resource-Based Parks","Sunset Cliffs Natural Park Drainage Study"
"Parks & Recreation","L16001","Parks","Open Space Parks","Sunset Cliffs Natural Pk Hillside Imp Preserv Phas"
"Parks & Recreation","S10091","Parks","Open Space Parks","Sunset Cliffs Natural Pk Hillside Imp Presrv"
"Parks & Recreation","L14005","Parks","Miscellaneous Parks","Sunset Cliffs Park Drainage Improvements"
"Parks & Recreation","S00633","Parks","Miscellaneous Parks","Sunset Cliffs Shoreline Park Improvement"
"Parks & Recreation","S00759","Parks","Miscellaneous Parks","Sunshine Berardini Fields"
"Parks & Recreation","S01050","Buildings","Parks - Recreation/Pool Centers","Swanson Standley Pool ADA Improvements"
"Parks & Recreation","S10054","Transportation","Roadway - Enhance/Scape/Medians","Switzer Canyon Bridge Enhancement Prog"
"Parks & Recreation","S15026","Parks","Miscellaneous Parks","Taft Joint Use Facility Development"
"Parks & Recreation","S00978","Transportation","Roadway - Street Lighting","Talmadge Decorative SL Restoration"
"Parks & Recreation","L12001","Transportation","Roadway - Enhance/Scape/Medians","Talmadge Historic Gates"
"Parks & Recreation","S00820","Transportation","Roadway","Talmadge Street Improvements"
"Parks & Recreation","S00976","Transportation","Roadway - Street Lighting","Talmadge Streetscape & Lighting Zone 1E"
"Parks & Recreation","S00977","Transportation","Roadway - Street Lighting","Talmadge Streetscape & Lighting Zone 2W"
"Parks & Recreation","S17001","Transportation","Roadway - Enhance/Scape/Medians","Talmadge Traffic Calming Infrastructure"
"Parks & Recreation","S00676","Parks","Miscellaneous Parks","Taylor Street Slope Reconstruction"
"Parks & Recreation","S11011","Parks","Community","Tierrasanta CP Sports Field Lighting"
"Parks & Recreation","L14001","Transportation","Roadway - Enhance/Scape/Medians","Tierrasanta - Median Conversion"
"Parks & Recreation","S00997","Parks","Miscellaneous Parks","Tierrasanta Skate Park"
"Parks & Recreation","S18004","Parks","Community","Tierrasanta Sports Field Lighting Phase II"
"Parks & Recreation","S11009","Transportation","Roadway - Enhance/Scape/Medians","Torrey Highlands Community ID & Enhance"
"Parks & Recreation","S16036","Parks","Neighborhood Parks","Torrey Highlands NP Upgrades"
"Parks & Recreation","S11020","Parks","Neighborhood Parks","Torrey Highlands Park Play Area Upgrades"
"Parks & Recreation","RD12002","Parks","Trails","Torrey Highlands Trail System"
"Parks & Recreation","S13007","Parks","Neighborhood Parks","Torrey Hills NP Development"
"Parks & Recreation","S11006","Parks","Resource-Based Parks","Torrey Hills SDG&E Easement Enhancement"
"Parks & Recreation","S00651","Parks","Neighborhood Parks","Torrey Meadows Neighborhood Park"
"Parks & Recreation","S01015","Parks","Miscellaneous Parks","Torrey Pines City Park GDP"
"Parks & Recreation","S00631","Golf Courses","Golf Courses","Torrey Pines GC Clubhouse Starter Booth & Fence"
"Parks & Recreation","AEA00001","Golf Courses","Golf Courses","Torrey Pines Golf Course"
"Parks & Recreation","S00630","Golf Courses","Golf Courses","Torrey Pines Golf Course Clubhouse Maintenance"
"Parks & Recreation","S01065","Golf Courses","Golf Courses","Torrey Pines Golf Course Irrigate & Fence Upgrades"
"Parks & Recreation","S01082","Golf Courses","Golf Courses","Torrey Pines Golf Course-Reconstruction 18 Holes"
"Parks & Recreation","S14019","Golf Courses","Golf Courses","Torrey Pines N. Golf Course-Improvements"
"Parks & Recreation","S10045","Golf Courses","Golf Courses","Torrey Pines North and South Course Golf Paths"
"Parks & Recreation","S00749","Golf Courses","Golf Courses","Torrey Pines N & S Course Restroom Replacement"
"Parks & Recreation","S00627","Golf Courses","Golf Courses","Torrey Pines S Golf Course Restroom Improvements"
"Parks & Recreation","S18002","Golf Courses","Golf Courses","TP SOuth Golf Course Imp Renovation"
"Parks & Recreation","S13001","Parks","Trails","Trail for All People"
"Parks & Recreation","RD13001","Parks","Trails","Trail Undercrossings - L Mdws Pl & GC Pl"
"Parks & Recreation","S00971","Parks","Miscellaneous Parks","Treena Mesa Joint Use Sports Field"
"Parks & Recreation","S13000","Parks","Miscellaneous Parks","Tubman Charter School JU Improvements"
"Parks & Recreation","S00645","Parks","Neighborhood Parks","University Gardens Neighborhood Park Tot Lot"
"Parks & Recreation","S13005","Parks","Neighborhood Parks","University Village Park Tot Lot"
"Parks & Recreation","S11103","Parks","Mini Parks","Valencia Park Acquisition & Development"
"Parks & Recreation","S10031","Parks","Neighborhood Parks","Views West NP ADA Upgrades"
"Parks & Recreation","S16048","Parks","Neighborhood Parks","Villa Monserate Neighborhood Park Upgrades"
"Parks & Recreation","S00766","Parks","Miscellaneous Parks","Vista Terrace Tot Lot Park"
"Parks & Recreation","S10092","Parks","Neighborhood Parks","Walker NP Playground Upgrades"
"Parks & Recreation","S15007","Parks","Miscellaneous Parks","Wangenheim Joint Use Facility"
"Parks & Recreation","S14005","Transportation","Roadway - Enhance/Scape/Medians","Webster Neighborhood Identification Sign"
"Parks & Recreation","S00764","Parks","Miscellaneous Parks","Wegeforth Elementary School Joint Use"
"Parks & Recreation","S10036","Transportation","Roadway - Enhance/Scape/Medians","Welcome to Rancho Bernardo Signs"
"Parks & Recreation","S00757","Parks","Mini Parks","West Lewis and Falcon Streets MP"
"Parks & Recreation","S00760","Parks","Mini Parks","West Maple Canyon MP"
"Parks & Recreation","S01066","Parks","Miscellaneous Parks","Westview Park Shade Structure"
"Parks & Recreation","S14014","Parks","Community","W. Henderson Security Light Improvement"
"Parks & Recreation","S00767","Parks","Neighborhood Parks","Wightman Street Neighborhood Park"
"Parks & Recreation","S00656","Parks","Miscellaneous Parks","Windansea Erosion Control Plan"
"Parks & Recreation","S01069","Parks","Miscellaneous Parks","Windansea Stairs Railing Replacement"
"Parks & Recreation","S11017","Parks","Mini Parks","Windwood II MP Play Area Upgrades"
"Police","S13100","Buildings","Pub Safety - Police Facilities / Structures","CAD System Replacement Project"
"Police","S00694","Buildings","Pub Safety - Police Facilities / Structures","Central Area Police Substation"
"Police","S15025","Buildings","Pub Safety - Police Facilities / Structures","Enterprise Radio/Phone Logger"
"Police","S00815","Buildings","Pub Safety - Police Facilities / Structures","Northwest Area Police Substation"
"Police","S15024","Buildings","Pub Safety - Police Facilities / Structures","Police 911 Call Manager"
"Police","S10131","Buildings","Pub Safety - Police Facilities / Structures","Police HQs CoGeneration Repower Project"
"Police","S10118","Buildings","Pub Safety - Police Facilities / Structures","Police Range Refurbishment"
"Police","S18005","Buildings","Pub Safety - Police Facilities / Structures","Police Range Refurbishment Phase II"
"Police","S00816","Buildings","Pub Safety - Police Facilities / Structures","Public Safety Training Institute"
"Public Utilities","S12010","Water","Distribution System - Transmission","30th Street Pipeline Replacement"
"Public Utilities","S12011","Buildings","Water - Pump Stations","69th & Mohawk Pump Station"
"Public Utilities","S17008","Buildings","Other City Facility / Structures","Advanced Metering Infrastructure"
"Public Utilities","S10127","Buildings","Water - Laboratories","Adv Water Treatment Demo Plant (IPR/RA)"
"Public Utilities","S12013","Water","Distribution System - Transmission","Alvarado 2nd Extension Pipeline"
"Public Utilities","S15019","Wastewater","Collection System - Trunk Sewer","Alvarado Trunk Sewer Phase IV"
"Public Utilities","S00047","Buildings","Water - Laboratories","Alvarado Water Quality Lab Roof Replacement"
"Public Utilities","S00311","Buildings","MWWD - Laboratories","Alvarado Water Quality Lab Roof Replacement"
"Public Utilities","S00075","Buildings","Water - Treatment Plants","Alvarado WTP - Fluoridation Facilities"
"Public Utilities","S00022","Buildings","Water - Treatment Plants","Alvarado WTP-Ozone Improvements (Ph IV)"
"Public Utilities","S00023","Buildings","Water - Treatment Plants","Alvarado WTP - Rehab Floc/Sed Basins PH 3"
"Public Utilities","S00065","Water","Distribution System - Transmission","Alvarado WTP-SD 12 Flow Control Fac"
"Public Utilities","S00021","Buildings","Water - Treatment Plants","Alvarado WTP Upgrade & Expansion"
"Public Utilities","S12036","Buildings","MWWD - Pump Stations","Backup Generators at SPS's, TP & EMTS"
"Public Utilities","S00331","Wastewater","Collection System - Trunk Sewer","Balboa Avenue Trunk Sewer"
"Public Utilities","S12035","Wastewater","Collection System - Trunk Sewer","Balboa Terrace Trunk Sewer"
"Public Utilities","S10013","Buildings","Water - Reservoirs/Dams","Barrett Flume Cover"
"Public Utilities","S00039","Buildings","Water - Reservoirs/Dams","Barrett Reservoir Outlet Tower Upgrade"
"Public Utilities","S14021","Buildings","Other City Facility / Structures","Bayview Reservoir Solar Project"
"Public Utilities","S00313","Wastewater","Collection System - Trunk Sewer","Beach Area Low Flow Storm Diversion"
"Public Utilities","S00071","Water","Distribution System - Transmission","Carmel Mountain Road Transmission Line"
"Public Utilities","S00325","Wastewater","Collection System - Trunk Sewer","Carmel Valley Trunk Sewer"
"Public Utilities","S12008","Water","Distribution System - Transmission","Catalina 12inch Cast Iron Mains"
"Public Utilities","S11025","Buildings","Operations Facility / Structures","Chollas Building"
"Public Utilities","S15043","Buildings","Operations Facility / Structures","Chollas Material Bins"
"Public Utilities","S12012","Buildings","Water - Pump Stations","Cielo & Woodman Pump Station"
"Public Utilities","ABS00001","Buildings","Operations Facility / Structures","CIP Contingencies"
"Public Utilities","S00045","Water","Distribution System - Transmission","CIP Program Management"
"Public Utilities","S11100","Buildings","Other City Facility / Structures","CIS ERP Implementation"
"Public Utilities","S11102","Water","Distribution System - Transmission","Colony Hill Water Main Relocation"
"Public Utilities","AKA00001","Water","Distribution System - Transmission","Corrosion Control"
"Public Utilities","ABK00001","Buildings","Water - Reservoirs/Dams","Dams and Reservoirs"
"Public Utilities","S12017","Water","Distribution System - Transmission","Del Mar Heights East Segment"
"Public Utilities","S00070","Water","Distribution System - Distribution","Del Mar Heights Pipeline Relocation"
"Public Utilities","S00067","Water","Distribution System - Transmission","Dulzura Conduit Concrete Covers"
"Public Utilities","S00326","Wastewater","Collection System - Trunk Sewer","East Mission Gorge Force Main Rehab"
"Public Utilities","S00329","Wastewater","Collection System - Trunk Sewer","East Point Loma Trunk Sewer"
"Public Utilities","S10005","Water","Distribution System - Distribution","El Capitan Pipeline #2 Valves"
"Public Utilities","S12007","Water","Distribution System - Transmission","El Capitan Potable Water Segment"
"Public Utilities","S00040","Buildings","Water - Reservoirs/Dams","El Capitan Reservoir Road Improvements"
"Public Utilities","S10008","Water","Distribution System - Distribution","El Monte Pipeline No 2"
"Public Utilities","S00319","Buildings","MWWD - Laboratories","EMTS Boat Dock Esplanade"
"Public Utilities","S00074","Buildings","Water - Treatment Plants","Fluoridation Facilities"
"Public Utilities","AKB00002","Water","Distribution System - Distribution","Freeway Relocation"
"Public Utilities","RD16004","Wastewater","Collection System - Main","Gonzales Canyon Sewer"
"Public Utilities","ABM00001","Buildings","Water - Wells","Groundwater Asset Development Program"
"Public Utilities","AKC00001","Landfills","Landfills","Groundwater Monitoring Network"
"Public Utilities","S00019","Water","Distribution System - Transmission","Harbor Drive Pipeline"
"Public Utilities","S12028","Water","Distribution System - Transmission","Harbor Drive Pipelines Replacement"
"Public Utilities","S18006","Wastewater","Collection System - Trunk Sewer","Harbor Drive Trunk Sewer"
"Public Utilities","S00336","Wastewater","Collection System - Trunk Sewer","Harbor Drive Trunk Sewer Replacement"
"Public Utilities","RD16001","Wastewater","Collection System - Trunk Sewer","Harbor Dr TS Participation Agreement"
"Public Utilities","AKB00007","Water","Distribution System - Distribution","Instrumentation and Control"
"Public Utilities","S10011","Water","Distribution System - Distribution","Kearny Mesa Pipeline Upgrade"
"Public Utilities","S20000","Wastewater","Collection System - Trunk Sewer","Kearny Mesa Trunk Sewer"
"Public Utilities","S10059","Water","Distribution System - Distribution","Kensington Pressure Regulator"
"Public Utilities","S00005","Water","Distribution System - Transmission","La Jolla/Pacific Beach Water Main Accel-AC Overlay"
"Public Utilities","S00327","Wastewater","Collection System - Trunk Sewer","La Jolla/PB Trunk Sewer-Chelsea Street Relocation"
"Public Utilities","S12009","Water","Distribution System - Transmission","La Jolla Scenic Drive 16inch Main"
"Public Utilities","S15027","Water","Distribution System - Distribution","La Jolla View Reservoir"
"Public Utilities","S00335","Wastewater","Collection System - Trunk Sewer","Lake Murray Trunk Sewer"
"Public Utilities","AKA00003","Water","Distribution System - Transmission","Large Diameter Water Transmission PPL"
"Public Utilities","S10055","Water","Distribution System - Transmission","Lindbergh Field 16"" CI Main Replacement"
"Public Utilities","S00069","Water","Distribution System - Transmission","Little McGonigle Ranch Road Pipeline"
"Public Utilities","S12018","Buildings","Water - Reservoirs/Dams","Lower Otay Outlet Tower"
"Public Utilities","S00044","Buildings","Water - Reservoirs/Dams","Lower Otay Reservoir Emer Outlet Improve"
"Public Utilities","S00322","Buildings","MWWD - Treatment Plants","MBC Biosolids Storage Silos"
"Public Utilities","S00321","Buildings","MWWD - Treatment Plants","MBC Centrate Collection Upgrades"
"Public Utilities","S00339","Buildings","MWWD - Treatment Plants","MBC Dewatering Centrifuges Replacement"
"Public Utilities","S17013","Buildings","MWWD - Treatment Plants","MBC Equipment Upgrades"
"Public Utilities","S00323","Buildings","MWWD - Treatment Plants","MBC Odor Control Facility Upgrades"
"Public Utilities","AKB00005","Water","Distribution System - Distribution","Meter Boxes"
"Public Utilities","L10000","Buildings","MWWD - Treatment Plants","Metro Facilities Control Systems Upgrade"
"Public Utilities","S00320","Buildings","MWWD - Administration Structures","Metro Facilities Control System Upgrade Phase I"
"Public Utilities","ABP00002","Buildings","MWWD - Pump Stations","Metropolitan System Pump Stations"
"Public Utilities","AJB00001","Wastewater","Collection System - Trunk Sewer","Metropolitan Waste Water Department Trunk Sewers"
"Public Utilities","ABR00004","Buildings","MWWD - Administration Structures","Metro Pooled Contingency 2"
"Public Utilities","ABO00001","Buildings","MWWD - Treatment Plants","Metro Treatment Plants"
"Public Utilities","S11024","Buildings","Water - Standpipes","Miramar Clearwell Improvements"
"Public Utilities","S13016","Buildings","Water - Treatment Plants","Miramar Contract A Roof System Redesign"
"Public Utilities","S00083","Water","Distribution System - Distribution","Miramar Pipeline Monitoring & Reinspection"
"Public Utilities","S00330","Wastewater","Collection System - Trunk Sewer","Miramar Road Trunk Sewer"
"Public Utilities","S00025","Buildings","Water - Treatment Plants","Miramar WTP Early Start Improvement-Phase II"
"Public Utilities","S00027","Buildings","Water - Treatment Plants","Miramar WTP Flocculation & Sedimintation Basin"
"Public Utilities","S00076","Buildings","Water - Treatment Plants","Miramar WTP -  Fluoridation Facilities"
"Public Utilities","S00028","Buildings","Water - Treatment Plants","Miramar WTP Landscape & Site Improvement"
"Public Utilities","S00029","Buildings","Water - Treatment Plants","Miramar WTP Ozone Equipment/Installation"
"Public Utilities","S00024","Buildings","Water - Treatment Plants","Miramar WTP Upgrade & Expansion"
"Public Utilities","S14022","Buildings","Other City Facility / Structures","MOC Complex Solar Project"
"Public Utilities","S11026","Water","Distribution System - Distribution","Montezuma/Mid-City Pipeline Phase II"
"Public Utilities","S00332","Wastewater","Collection System - Trunk Sewer","Montezuma Trunk Sewer"
"Public Utilities","S16027","Water","Distribution System - Transmission","Morena Pipeline"
"Public Utilities","S00041","Buildings","Water - Reservoirs/Dams","Morena Reservoir Outlet Tower Upgrade"
"Public Utilities","L10001","Buildings","MWWD - Treatment Plants","Municipal Fac Control Systems Upgrade"
"Public Utilities","ABR00001","Buildings","MWWD - Administration Structures","Muni Pooled Contingency"
"Public Utilities","S17012","Buildings","MWWD - Treatment Plants","NCWRP Improvements to 30 mgd"
"Public Utilities","S00309","Buildings","MWWD - Pump Stations","NCWRP Sludge Pump Station Upgrade"
"Public Utilities","RD15003","Water","Distribution System - Distribution","New 16"" Water Mains (U-3)"
"Public Utilities","S00318","Buildings","MWWD - Administration Structures","North City Raw Sludge & Water Cathodic Upgrade"
"Public Utilities","AHC00002","Reclaimed Water","Pipelines","North City Reclamation System"
"Public Utilities","S00340","Buildings","MWWD - Treatment Plants","North City Water Reclamation Plant - EDR Enclosure"
"Public Utilities","S00324","Buildings","MWWD - Treatment Plants","North City Water Reclamation Plant EDR Upgrade"
"Public Utilities","S11027","Water","Distribution System - Transmission","Otay 1st/2nd PPL Abandon E of Highland"
"Public Utilities","S12016","Water","Distribution System - Transmission","Otay 1st/2nd PPL West of Highland Avenue"
"Public Utilities","S00035","Water","Distribution System - Transmission","Otay 2nd - Cast Iron Replacement"
"Public Utilities","S00034","Water","Distribution System - Transmission","Otay 2nd - Cathodic Protect Otay Ranch"
"Public Utilities","S00033","Water","Distribution System - Transmission","Otay 2nd - Isolate Svc Sweetwater"
"Public Utilities","S00037","Water","Distribution System - Transmission","Otay 2nd - North Encanto Replacement"
"Public Utilities","S00036","Water","Distribution System - Transmission","Otay 2nd - Otay Ranch Replacement"
"Public Utilities","S11109","Water","Distribution System - Transmission","Otay 2nd Pipeline-Emergency Main Repairs"
"Public Utilities","S20001","Water","Distribution System - Transmission","Otay 2nd Pipeline Phase 4"
"Public Utilities","S00301","Wastewater","Collection System - Trunk Sewer","Otay Mesa Trunk Sewer"
"Public Utilities","S00032","Water","Distribution System - Transmission","Otay Second Pipeline Improvements"
"Public Utilities","S15016","Water","Distribution System - Transmission","Otay Second Pipeline Relocation-PA"
"Public Utilities","S00031","Buildings","Water - Treatment Plants","Otay Water Trtmnt Plant Uprade & Exp - Ph. II"
"Public Utilities","S11059","Buildings","Water - Treatment Plants","Otay WTP Concrete Work"
"Public Utilities","S00077","Buildings","Water - Treatment Plants","Otay WTP - Fluoridation Facilities"
"Public Utilities","S00030","Buildings","Water - Treatment Plants","Otay WTP Upgrade & Expansion"
"Public Utilities","S12015","Water","Distribution System - Transmission","Pacific Beach Pipeline South (W)"
"Public Utilities","AJA00002","Wastewater","Collection System - Main","Pipeline Rehabilitation"
"Public Utilities","S00341","Wastewater","Collection System - Main","Pipeline Rehabilitation Phase F-1"
"Public Utilities","S00315","Buildings","MWWD - Treatment Plants","Point Loma Grit Processing Improvements"
"Public Utilities","S00072","Water","Distribution System - Distribution","Pomerado Pipeline #2"
"Public Utilities","AKA00002","Water","Distribution System - Transmission","Pressure Reduction Facility Upgrades"
"Public Utilities","S00068","Water","Distribution System - Transmission","Proctor Valley Off-Highway Vehicle Barrier"
"Public Utilities","S00312","Buildings","MWWD - Pump Stations","PS2 Power Reliability & Surge Protection"
"Public Utilities","S00308","Buildings","MWWD - Pump Stations","PS 84 Upgrade & PS 62 Abandon"
"Public Utilities","S00303","Buildings","MWWD - Pump Stations","PS Upgrades Group 1 North County"
