"dept_group","dept_name","dept_division","dept_section","funds_center","funds_center_number"
"Public Utilities","Public Utilities","Water System Operations","Water System Operations - Reservoirs O&M","Reservoirs Core Maintenance","2000201311"
"Public Utilities","Public Utilities","Water System Operations","Water System Operations - Reservoirs O&M","Reservoirs Section Management","2000201301"
"Public Utilities","Public Utilities","Water System Operations","Water Treatment Plants","Water Treatment Plants","2000201411"
"Public Utilities","Public Utilities","WWTD","Central Support","EMG PS","2000191334"
"Public Utilities","Public Utilities","WWTD","Central Support","General","2000191330"
"Public Utilities","Public Utilities","WWTD","Central Support","Grove Avenue PS (APS)","2000191323"
"Public Utilities","Public Utilities","WWTD","Central Support","MBC","2000191326"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 1","2000191311"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 10","2000191320"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 2","2000191312"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 3","2000191313"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 4","2000191314"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 5","2000191315"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 6","2000191316"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 7","2000191317"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 8","2000191318"
"Public Utilities","Public Utilities","WWTD","Central Support","MOC 9","2000191319"
"Public Utilities","Public Utilities","WWTD","Central Support","NCWRP","2000191325"
"Public Utilities","Public Utilities","WWTD","Central Support","North City Co-Gen Facility","2000191337"
"Public Utilities","Public Utilities","WWTD","Central Support","Otay River (ORPS)","2000191324"
"Public Utilities","Public Utilities","WWTD","Central Support","Penasquitos","2000191331"
"Public Utilities","Public Utilities","WWTD","Central Support","Pipelines","2000191329"
"Public Utilities","Public Utilities","WWTD","Central Support","PS 64","2000191332"
"Public Utilities","Public Utilities","WWTD","Central Support","PS 65","2000191333"
"Public Utilities","Public Utilities","WWTD","Central Support","PTLWWTP","2000191327"
"Public Utilities","Public Utilities","WWTD","Central Support","Pump Station 1","2000191321"
"Public Utilities","Public Utilities","WWTD","Central Support","Pump Station 2","2000191322"
"Public Utilities","Public Utilities","WWTD","Central Support","San Pasqual","2000191335"
"Public Utilities","Public Utilities","WWTD","Central Support","SBWRP","2000191328"
"Public Utilities","Public Utilities","WWTD","Operation Support","COMC","2000191113"
"Public Utilities","Public Utilities","WWTD","Operation Support","COMNET","2000191112"
"Public Utilities","Public Utilities","WWTD","Operation Support","Financial Services","2000191111"
"Public Utilities","Public Utilities","WWTD","Operation Support","Operation Support Section Management","2000191101"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","EMG PS","2000191225"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Energy Production","2000191220"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","General","2000191230"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Grove Avenue PS (APS)","2000191213"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","MBC","2000191216"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Metro Pump Stations","2000191229"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Muni Pump Stations","2000191228"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","NC Generation Plant","2000191221"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","NCWRP","2000191215"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Otay River (ORPS)","2000191214"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Penasquitos","2000191222"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","PS 64","2000191223"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","PS 65","2000191224"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","PTLWWTP","2000191217"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Pump Station 1","2000191211"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Pump Station 2","2000191212"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Pump Stations & Plants Section Mgmt","2000191201"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","San Pasqual","2000191226"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","SBWRP","2000191218"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","Treatment Plants","2000191227"
"Public Utilities","Public Utilities","WWTD","Pump Stations & Plants","WWTD Engineering","2000191219"
"Public Utilities","Public Utilities","WWTD","WWTD","WWTD Division Management","2000190001"
"Public Utilities","Water","Business & Support Services","Administrative Services","Records Management","2013111111"
"Public Utilities","Water","Business & Support Services","Administrative Services","Section Management","2013111101"
"Public Utilities","Water","Business & Support Services","Administrative Services","Training","2013111112"
"Public Utilities","Water","Business & Support Services","Business & Support Services","Division Management","2013110001"
"Public Utilities","Water","Business & Support Services","Business & Support Services","Information Technology","2013110011"
"Public Utilities","Water","Business & Support Services","Finance","Audit Support","2013111313"
"Public Utilities","Water","Business & Support Services","Finance","CIP Budget Preparation & Monitoring","2013111311"
"Public Utilities","Water","Business & Support Services","Finance","Contracts/Grants Administration","2013111314"
"Public Utilities","Water","Business & Support Services","Finance","Operating Budget & Revenue","2013111315"
"Public Utilities","Water","Business & Support Services","Finance","Rates & Bonds","2013111312"
"Public Utilities","Water","Business & Support Services","Finance","Section Management","2013111301"
"Public Utilities","Water","Business & Support Services","Human Resources","Analytical Support","2013111211"
"Public Utilities","Water","Business & Support Services","Human Resources","Payroll Services","2013111212"
"Public Utilities","Water","Business & Support Services","Human Resources","Section Management","2013111201"
"Public Utilities","Water","CIP Program","CIP Program","Division Management","2013150001"
"Public Utilities","Water","CIP Program","CIP Program","Groundwater Projects","2013150014"
"Public Utilities","Water","CIP Program","CIP Program","Municipal Water Projects","2013150012"
"Public Utilities","Water","CIP Program","CIP Program","Operation & Maintenance","2013150011"
"Public Utilities","Water","CIP Program","CIP Program","Reclaimed Water Projects","2013150013"
"Public Utilities","Water","Customer Support","Customer Service Office & Billing","Collections","2013121112"
"Public Utilities","Water","Customer Support","Customer Service Office & Billing","Customer Information","2013121113"
"Public Utilities","Water","Customer Support","Customer Service Office & Billing","Exception Billing","2013121111"
"Public Utilities","Water","Customer Support","Customer Service Office & Billing","Payment Processing","2013121114"
"Public Utilities","Water","Customer Support","Customer Service Office & Billing","Section Management","2013121101"
"Public Utilities","Water","Customer Support","Customer Support","Division Management","2013120001"
"Public Utilities","Water","Customer Support","Field Services","Code Enforcement","2013121212"
"Public Utilities","Water","Customer Support","Field Services","Investigations","2013121214"
"Public Utilities","Water","Customer Support","Field Services","Meter Reading","2013121211"
"Public Utilities","Water","Customer Support","Field Services","Restoration","2013121215"
"Public Utilities","Water","Customer Support","Field Services","Section Management","2013121201"
"Public Utilities","Water","Customer Support","Field Services","Sewer Class/IOS","2013121213"
"Public Utilities","Water","Customer Support","Meter Services","Hydrant Construction","2013121313"
"Public Utilities","Water","Customer Support","Meter Services","Meter Installation","2013121311"
"Public Utilities","Water","Customer Support","Meter Services","Recycled Water","2013121312"
"Public Utilities","Water","Customer Support","Meter Services","Section Management","2013121301"
"Public Utilities","Water","Customer Support","Water Conservation","Assurance Program","2013121414"
"Public Utilities","Water","Customer Support","Water Conservation","Exterior Conservation","2013121412"
"Public Utilities","Water","Customer Support","Water Conservation","Interior Conservation","2013121411"
"Public Utilities","Water","Customer Support","Water Conservation","Section Management","2013121401"
"Public Utilities","Water","Environmental Monitoring & Tech Services","EMTS-Water","Division Management","2013160001"
"Public Utilities","Water","Environmental Monitoring & Tech Services","EMTS-Water","Microbiology","2013160011"
"Public Utilities","Water","Environmental Monitoring & Tech Services","EMTS-Water","Water Laboratory","2013160012"
"Public Utilities","Water","Water","Water","Department Management","2013000001"
"Public Utilities","Water","Water Operations","Construction & Maintenance","CIP Construction","2013131113"
"Public Utilities","Water","Water Operations","Construction & Maintenance","Construction (Districts)","2013131114"
"Public Utilities","Water","Water Operations","Construction & Maintenance","Construction Section Management","2013131101"
"Public Utilities","Water","Water Operations","Construction & Maintenance","Emergency Services","2013131111"
"Public Utilities","Water","Water Operations","Construction & Maintenance","Pipelines & Valves","2013131115"
"Public Utilities","Water","Water Operations","Construction & Maintenance","Support Services","2013131112"
"Public Utilities","Water","Water Operations","Meter Services","Hydrant Construction","2013131413"
"Public Utilities","Water","Water Operations","Meter Services","Meter Installation","2013131411"
"Public Utilities","Water","Water Operations","Meter Services","Meter Section Management","2013131401"
"Public Utilities","Water","Water Operations","Meter Services","Recycled Water","2013131412"
"Public Utilities","Water","Water Operations","Reservoir Management","Reservoir Maintenance","2013131312"
"Public Utilities","Water","Water Operations","Reservoir Management","Reservoir Recreation","2013131311"
"Public Utilities","Water","Water Operations","Reservoir Management","Reservoir Recreation-GF","2013131313"
"Public Utilities","Water","Water Operations","Reservoir Management","Reservoir Section Management","2013131301"
"Public Utilities","Water","Water Operations","Water Operations","Assurance Program","2013130011"
"Public Utilities","Water","Water Operations","Water Operations","Division Management","2013130001"
"Public Utilities","Water","Water Operations","Water Operations","Safety","2013130012"
"Public Utilities","Water","Water Operations","Water Operations","Water Purchases","2013130013"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Alvarado Treatment Plant","2013131211"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Corrosion Engineering","2013131218"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Distribution Engineering","2013131217"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Distribution Operations","2013131216"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","FIMS-Database","2013131214"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Laboratory","2013131219"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Miramar Treatment Plant","2013131212"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Otay Treatment Plant","2013131213"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Production Engineering","2013131215"
"Public Utilities","Water","Water Operations","Water Operations & Engineering","Systems Operations Section Management","2013131201"
"Public Utilities","Water","Water Operations-Construction & Maint","Construction & Maintenance","CIP Construction","2013171113"
"Public Utilities","Water","Water Operations-Construction & Maint","Construction & Maintenance","Construction (Districts)","2013171114"
"Public Utilities","Water","Water Operations-Construction & Maint","Construction & Maintenance","Emergency Services","2013171111"
"Public Utilities","Water","Water Operations-Construction & Maint","Construction & Maintenance","Pipelines & Valves","2013171115"
"Public Utilities","Water","Water Operations-Construction & Maint","Construction & Maintenance","Section Management","2013171101"
"Public Utilities","Water","Water Operations-Construction & Maint","Construction & Maintenance","Support Services","2013171112"
"Public Utilities","Water","Water Operations-Construction & Maint","Division Management","Division Management","2013170001"
"Public Utilities","Water","Water Operations-Construction & Maint","Meter Services","Backflow Installation","2013171215"
"Public Utilities","Water","Water Operations-Construction & Maint","Meter Services","Hydrant Construction","2013171213"
"Public Utilities","Water","Water Operations-Construction & Maint","Meter Services","Meter Box","2013171214"
"Public Utilities","Water","Water Operations-Construction & Maint","Meter Services","Meter Installation","2013171211"
"Public Utilities","Water","Water Operations-Construction & Maint","Meter Services","Recycled Water","2013171212"
"Public Utilities","Water","Water Operations-Construction & Maint","Meter Services","Section Management","2013171201"
"Public Utilities","Water","Water Operations-System Operations","Division Management","Division Management","2013180001"
"Public Utilities","Water","Water Operations-System Operations","Division Management","Water Purchases","2013180011"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Alvarado","2013181111"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Corrosion Engineering","2013181117"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Distribution Engineering","2013181116"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Distribution Operations","2013181115"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Miramar","2013181112"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Otay","2013181113"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Production Engineering","2013181114"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Recycled Water","2013181118"
"Public Utilities","Water","Water Operations-System Operations","Water Operations & Engineering","Section Management","2013181101"
"Public Utilities","Water","Water Resource & Planning","Capital Improvement Program","CIP Planning and Water Review","2013141111"
"Public Utilities","Water","Water Resource & Planning","Capital Improvement Program","CIP Project Controls","2013141112"
"Public Utilities","Water","Water Resource & Planning","Capital Improvement Program","Section Management","2013141101"
"Public Utilities","Water","Water Resource & Planning","Water Resource & Planning","Division Management","2013140001"
"Public Utilities","Water","Water Resource & Planning","Water Resource & Planning","Legislative and Policy Analysis Support","2013140011"
"Public Utilities","Water","Water Resource & Planning","Water Resource & Planning","Recycled Water Program","2013140012"
"Public Utilities","Water","Water Resource & Planning","Water Resources","Section Management","2013141201"
"Public Utilities","Water","Water Resource & Planning","Water Resources","Water Reliability","2013141212"
"Public Utilities","Water","Water Resource & Planning","Water Resources","Watershed and Resource Protection","2013141211"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Division Management","2112120001"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Parks","2112120018"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Project Management I","2112120013"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Project Management II & III","2112120014"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Public Buildings","2112120017"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Public Buildings I","2112120011"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Public Buildings II","2112120012"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Water & Wastewater","2112120019"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Water & Wastewater I","2112120015"
"Public Works","Engineering & Capital Projects","Architectural Engineering & Parks","Architectural Engineering & Parks","Water & Wastewater II","2112120016"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","CIP Fiscal Management","2112180011"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","Department Outreach Support","2112180016"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","Division Management","2112180001"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","Engineering Systems Support","2112180017"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","Org Effectiveness & Talent Development","2112180015"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","Project Portfolio Management","2112180012"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","PW Administration & Fiscal Management","2112180014"
"Public Works","Engineering & Capital Projects","Business Operations Support Services","Business Operations Support Services","PW IT","2112180013"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","ADA Project Review","2112140019"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Asset Coordination Planning","2112140025"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Business & Support Services","2112140022"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","CIP Fund Management","2112140012"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","CIP Project Portfolio Coordination","2112140013"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Condition Assessment","2112140023"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Division Management","2112140001"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Environmental & Permitting Support","2112140014"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","GRC & A/E Consultant Services","2112140016"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Information Technology GIS/CADD","2112140017"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Non-capital CIP Costs","2112140021"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Preliminary Engineering","2112140024"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Public Information","2112140020"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Standards & Quality Control","2112140015"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Transportation, Park & Structures Prelim","2112140018"
"Public Works","Engineering & Capital Projects","Capital Asset Management","Capital Asset Management","Water, Sewer & Stormwater P/L Prelim Eng","2112140011"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Bridges","2112130019"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","CCOS","2112130021"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Change Order Management","2112130027"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Construction Stormwater Engineering","2112130022"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","District 1 & 3","2112130013"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","District 2 & 4","2112130014"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Division Management","2112130001"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Electrical","2112130024"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Field Inspection Services","2112130023"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Geologist","2112130020"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Major Buildings","2112130017"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Materials Test Lab","2112130016"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Non-CIP Permit Inspections","2112130028"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Prevailing Wage Compliance","2112130029"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","QA/QC Constructability Reviews","2112130026"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Surveys","2112130015"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Traffic","2112130025"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Traffic & Electrical","2112130018"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Water & Wastewater","2112130012"
"Public Works","Engineering & Capital Projects","Construction Management & Field Engineer","Construction Management & Field Engineer","Water & Wastewater III","2112130011"
"Public Works","Engineering & Capital Projects","Contracting","Contracting","A/E & Professional Agreements","2112200011"
"Public Works","Engineering & Capital Projects","Contracting","Contracting","Construction Contracts","2112200012"
"Public Works","Engineering & Capital Projects","Contracting","Contracting","Division Management","2112200001"
"Public Works","Engineering & Capital Projects","Contracting","Contracting","Prevailing Wage","2112200013"
"Public Works","Engineering & Capital Projects","Engineering & Capital Projects","Engineering & Capital Projects","Business & Support Services","2112000011"
"Public Works","Engineering & Capital Projects","Engineering & Capital Projects","Engineering & Capital Projects","Department Management","2112000001"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","ADA Access Law Compliance","2112190012"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","As-Needed JOC","2112190015"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Contract Standards","2112190013"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Division Management","2112190001"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Emergency Projects","2112190017"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Engineering Drawings","2112190014"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Environmental Permitting","2112190011"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","IT Systems","2112190022"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Major Projects","2112190018"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Materials Test Lab","2112190020"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Surveys","2112190019"
"Public Works","Engineering & Capital Projects","Engineering Support & Technical Services","Engineering Support & Technical Services","Traffic","2112190021"
"Public Works","Engineering & Capital Projects","Public Works-Contracting","Public Works-Contracting","A/E & Professional Agreements","2112170011"
"Public Works","Engineering & Capital Projects","Public Works-Contracting","Public Works-Contracting","Construction Contracts","2112170012"
"Public Works","Engineering & Capital Projects","Public Works-Contracting","Public Works-Contracting","Division Management","2112170001"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Bridges","2112150015"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Division Management","2112150001"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Drainage","2112150014"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Signal & Streetlight Design","2112150013"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Transportation & Streets","2112150012"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Underground Utility Program","2112150016"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","UUD Non-capital CIP Costs","2112150017"
"Public Works","Engineering & Capital Projects","Right-of-Way Design","Right-of-Way Design","Water & Wastewater","2112150011"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Engineering Operations","Operations","2112160013"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Engineering Operations","Program Management","2112160012"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Engineering Operations","Traffic Signal Management","2112160011"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Engineering Operations","Transportation Engineering Operations","2112160001"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Engineering Operations","Transportation Systems Safety Program","2112160014"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Systems & Programming","Modeling","2112161112"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Systems & Programming","Preliminary Engineering","2112161113"
"Public Works","Engineering & Capital Projects","Transportation Engineering Operations","Transportation Systems & Programming","Section Management","2112161101"
"Public Works","Public Works - Contracts","Public Works - Contracts","Public Works - Contracts","A/E & Professional Agreements","2117000011"
"Public Works","Public Works - Contracts","Public Works - Contracts","Public Works - Contracts","Construction Contracts","2117000012"
"Public Works","Public Works - Contracts","Public Works - Contracts","Public Works - Contracts","Department Management","2117000001"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Construction & Development Standards","2114120013"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Construction & Development Standards","2114120016"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Education & Outreach","2114120017"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Enforcement","2114120021"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Enforcement & Inspections","2114120014"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Inspections","2114120019"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Monitoring","2114120018"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Policy","2114120020"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Policy Development & Monitoring","2114120011"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Program Management","2114120012"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","SWPP Division Management","2114120001"
"Storm Water","Storm Water","Pollution Prevention","Pollution Prevention","Watershed Planning","2114120015"
"Storm Water","Storm Water","Storm Drain O&M","Operations & Maintenance","Channel & Pump Station Maintenance","2114111212"
"Storm Water","Storm Water","Storm Drain O&M","Operations & Maintenance","Inspections & Cleaning","2114111213"
"Storm Water","Storm Water","Storm Drain O&M","Operations & Maintenance","O&M Section Management","2114111201"
"Storm Water","Storm Water","Storm Drain O&M","Operations & Maintenance","Structure Maintenance","2114111211"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Channel Inspection & Cleaning","2114110013"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Environmental Permitting & Planning","2114110018"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Infrastructure & Asset Management","2114110019"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","O&M Division Management","2114110001"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Operations & Maintenance Engineering","2114110017"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Parking Enforcement","2114110011"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Pump Station Maintenance & Repair","2114110014"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Storm Drain Inspections","2114110015"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Storm Drain Repair","2114110016"
"Storm Water","Storm Water","Storm Drain O&M","Storm Drain O&M","Street Sweeping","2114110012"
"Storm Water","Storm Water","Storm Drain O&M","Support Services","Parking Enforcement","2114111111"
"Storm Water","Storm Water","Storm Drain O&M","Support Services","Street Sweeping","2114111112"
"Storm Water","Storm Water","Storm Drain O&M","Support Services","Support Services Section Management","2114111101"
"Storm Water","Storm Water","Storm Water","Storm Water","Administrative Services","2114000011"
"Storm Water","Storm Water","Storm Water","Storm Water","Department Management","2114000001"
"Transportation","Transportation","Admin & Right of Way Coordination","Admin & Right of Way Coordination","Right of Way Coordination","2116000011"
"Transportation","Transportation","Admin & Right of Way Coordination","Admin & Right of Way Coordination","Transportation & Storm Water Admin","2116000001"
"Transportation","Transportation","Admin & Right of Way Coordination","Admin & Right of Way Coordination","Utilities Undergrounding Management","2116000012"
"Transportation","Transportation","Storm Water","Pollution Prevention","Construction & Development Standards","2116121213"
"Transportation","Transportation","Storm Water","Pollution Prevention","Education & Outreach","2116121215"
"Transportation","Transportation","Storm Water","Pollution Prevention","Enforcement","2116121221"
"Transportation","Transportation","Storm Water","Pollution Prevention","Enforcement & Inspections","2116121214"
"Transportation","Transportation","Storm Water","Pollution Prevention","Inspections","2116121218"
"Transportation","Transportation","Storm Water","Pollution Prevention","Monitoring","2116121217"
"Transportation","Transportation","Storm Water","Pollution Prevention","Non-Structural BMPs","2116121222"
"Transportation","Transportation","Storm Water","Pollution Prevention","Policy","2116121220"
"Transportation","Transportation","Storm Water","Pollution Prevention","Policy Development & Monitoring","2116121211"
"Transportation","Transportation","Storm Water","Pollution Prevention","Policy & Enforcement","2116121219"
"Transportation","Transportation","Storm Water","Pollution Prevention","Pollution Prevention Section Admin","2116121201"
"Transportation","Transportation","Storm Water","Pollution Prevention","Storm Water Infrastructure Management","2116121216"
"Transportation","Transportation","Storm Water","Pollution Prevention","Watershed Planning","2116121212"
"Transportation","Transportation","Storm Water","Storm Water Administration","Storm Water Division Administration","2116120001"
"Transportation","Transportation","Storm Water","Storm Water O&M","Channel Inspection & Cleaning","2116121115"
